id,slug,working_title,one_line_hook,region,category,search_demand,story_hook,source_availability,evergreen,total_score,notes
004,danske-bank-estonia,The €200 Billion Branch: How Danske Bank Laundered Europe,A sleepy Estonian branch moved €200bn of suspicious money while Copenhagen looked the other way — and a whistleblower paid the price.,Denmark/Estonia,fraud,5,5,5,5,20,"Bruun & Hjejle report, DOJ/SEC 2022 settlement ($2bn), Howard Wilkinson testimony, Berlingske/DR archives. Flagship episode candidate."
005,novo-nordisk-ozempic,Bigger Than Denmark: The Novo Nordisk Ozempic Boom and Wobble,"A century-old insulin maker became Europe's most valuable company, distorted Denmark's GDP, then lost half its value in a year.",Denmark,rise,5,5,5,4,19,"Ongoing story (CEO ousted May 2025, guidance cuts, layoffs); frame as rise + first stumble. Novo Nordisk Foundation structure is a great angle. DK sources: Børsen, Berlingske."
006,spotify-rise,Spotify: How a Swedish Pirate-Killer Took Over the World's Ears,"Built to beat The Pirate Bay, Spotify never made an annual profit until 2024 — and still reshaped an entire industry.",Sweden,rise,5,4,5,5,19,Ek/Lorentzon; label licensing deals; podcast bet (Rogan) and unwind; first full-year profit 2024. Book: The Spotify Play (Carlsson/Leijonhufvud).
007,ericsson-iraq-isis,"Ericsson's Iraq Problem: Bribes, ISIS Checkpoints and a $1bn Fine",An internal report leaked to ICIJ suggested Ericsson money may have reached Islamic State — years after it already paid $1bn to the DOJ.,Sweden/Iraq,scandal,4,5,5,5,19,"2019 DOJ DPA ($1.06bn), 2022 Ericsson List (ICIJ), 2023 DPA breach plea. Also fold in 2001 Cell Phone Wars context briefly."
008,telia-uzbekistan,Telia and the Dictator's Daughter: A $965 Million Bribery Case,Sweden's state-backed telecom paid hundreds of millions to Gulnara Karimova to enter Uzbekistan — and its executives walked free.,Sweden/Uzbekistan,fraud,4,5,5,5,19,SVT Uppdrag granskning broke it; DOJ/SEC/Dutch settlement 2017; Swedish acquittals 2019/2021. OCCRP archive rich.
009,steinhoff,Steinhoff: The €10 Billion Hole in Europe's Furniture Giant,"Poundland, Conforama, Mattress Firm — all owned by a Frankfurt-listed group whose accounts were fiction.",Germany/South Africa,fraud,4,5,5,5,19,"PwC report 2019, Markus Jooste death 2024. European angle via Frankfurt listing and Conforama/Poundland. Wirecard-adjacent audience."
010,lego-turnaround,Lego 2004: How the Brick Nearly Broke,"Star Wars, theme parks and 12,000 SKUs took Lego to the edge of bankruptcy — a 35-year-old ex-McKinsey consultant saved it.",Denmark,turnaround,4,5,5,5,19,"Books: Brick by Brick (Robertson), The Lego Story (Andersen). Kjeld Kirk Kristiansen/Knudstorp. Extremely evergreen."
011,ikea-kamprad,Ingvar Kamprad: The Flat-Pack Billionaire Who Hid Everything,"Ikea's founder built the world's largest furniture chain, a secret Liechtenstein foundation structure and a Nazi past he tried to forget.",Sweden/Netherlands,rise,4,5,5,5,19,"Interogo/Stichting INGKA structure (SVT Uppdrag granskning 2011), Elisabeth Åsbrink's book on Nazi ties. Careful legal framing."
012,klarna-bnpl,Klarna: The $46 Billion Bank That Became a $6 Billion Bank,"Sweden's fintech darling lost 85% of its value in a year, fired staff via video, then IPO'd in New York anyway.",Sweden,scandal,5,5,4,4,18,Sebastian Siemiatkowski profile; 2022 down round; AI-replaces-staff claims; Sept 2025 NYSE IPO. Breakit/DI for Swedish sources.
013,signa-rene-benko,Signa: How René Benko's €23bn Property Empire Vanished,Austria's youngest billionaire owned Selfridges and the Chrysler Building — until Europe's biggest property collapse and a jail cell.,Austria/Germany,collapse,4,5,5,4,18,"Insolvency 2023, convicted 2025 (further trials pending) — check latest status at production. Der Standard, Handelsblatt, FT deep dives."
